Country/Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Source UUID / Link,Use Case,Ai Rationale for the selection,AI suitability assessment result,Ecoinvent  Rationale,,,,
Rest-of-World,MAT-Wood-0001,Wood,Oak,kg,0.03749,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, oak, sustainable forest management: cleft timber, measured as dry mass","hardwood forestry, oak, sustainable forest management Rest-of-World (RoW) 20100101-20241231.pdf","Oak

✅ Suitable for interior fit-outs, furniture, and catering equipment applications where a renewable, low-embodied energy wood with natural aesthetics is desired. Ideal for environments with moderate humidity and where moderate strength is sufficient, such as residential furniture, decorative wall paneling, light-duty interior structures, and non-food-contact catering equipment like serving trays or decorative elements.
❌ Not suitable for environments with high moisture exposure, such as bathrooms or kitchens, or for applications requiring high load-bearing capacity, such as heavy-duty shelving, structural components, or catering equipment that involves direct food contact or exposure to high moisture and heat. Oak cleft timber may degrade faster in these conditions compared to treated or engineered wood products, which offer enhanced durability and moisture resistance.",,,,https://ecoquery.ecoinvent.org/3.11/apos/dataset/11063/documentation,,,
Germany,MAT-Wood-0002,Wood,Oak,kg,0.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, oak, sustainable forest management: cleft timber, measured as dry mass","hardwood forestry, oak, sustainable forest management Germany (DE) 20100101-20241231.pdf","Oak

✅ Suitable for interior fit-outs, furniture, and catering equipment applications where a renewable, low-embodied energy wood with natural aesthetics is desired. Ideal for environments with moderate humidity and where moderate strength is sufficient, such as residential furniture, decorative wall paneling, light-duty interior structures, and non-food-contact catering equipment like serving trays or decorative elements.
❌ Not suitable for environments with high moisture exposure, such as bathrooms or kitchens, or for applications requiring high load-bearing capacity, such as heavy-duty shelving, structural components, or catering equipment that involves direct food contact or exposure to high moisture and heat. Oak cleft timber may degrade faster in these conditions compared to treated or engineered wood products, which offer enhanced durability and moisture resistance.",,,,,,,
Global,MAT-Wood-0003,Wood,Maple,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Maple  

✅ Suitable for furniture and interior fit-outs due to its high strength, durability, fine grain, and attractive aesthetics, making it ideal for visible surfaces such as tabletops, cabinetry, and decorative panels. Its good machinability and ability to take finishes well make it a preferred choice for detailed woodworking and custom designs. Maple is also appropriate for structural components where visual appeal is important.
🔍 Note: In modular or commercial furniture systems—such as booths, work pods, or volume-produced seating—Maple is typically replaced by MDF, plywood, or engineered wood finished with laminates (e.g., HPL or LPL), due to cost, weight, and scalability considerations. Use Maple selectively in high-end, bespoke pieces where the tactile and visual benefits outweigh these trade-offs. 
❌ Not suitable for catering equipment or environments with high moisture exposure, such as kitchens or bathrooms, unless properly treated with sealants or finishes to prevent warping and degradation. Additionally, maple may not be the best choice for projects with strict budget constraints due to its higher cost compared to other wood options. It is crucial to ensure that the maple is sourced from sustainably managed forests to minimize environmental impact.",,,,,,,
Global,MAT-Wood-0004,Wood,Cherry,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Cherry  

✅ Suitable for furniture and interior applications where aesthetic appeal is a priority. Its rich color and smooth grain make it a popular choice for decorative surfaces, cabinetry, and fine furniture. It is known for its excellent workability and ability to take finishes well, enhancing its visual appeal. 
❌ Not suitable for environments with high moisture exposure, such as bathrooms or kitchens, unless properly sealed. Its tendency to dent and scratch more easily than harder woods makes it less ideal for heavy-use areas without additional protection. Cherry is generally not suitable for catering equipment due to its susceptibility to moisture and wear, which can compromise its durability in such demanding environments.",,,,,,,
Global,MAT-Wood-0005,Wood,Walnut,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Walnut  

✅ Suitable for high-end furniture and interior fit-outs due to its rich dark color, fine grain, and excellent strength, offering both durability and premium aesthetics. It is particularly suitable for decorative surfaces, cabinetry, and statement pieces where visual appeal and longevity are prioritized. Its natural resistance to wear makes it a preferred choice for areas with moderate use. 
❌ Not suitable for environments with high moisture or heavy wear without appropriate protective finishes, as it can be susceptible to damage in such conditions. Additionally, its higher cost and environmental impact, due to slow growth and resource-intensive harvesting, may limit its use in budget-conscious or sustainability-focused projects. For catering equipment, where exposure to moisture and frequent cleaning is common, alternative materials with better moisture resistance and lower environmental impact should be considered.",,,,,,,
Rest-of-World,MAT-Wood-0006,Wood,Beech,kg,0.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, beech, sustainable forest management: cleft timber, measured as dry mass","hardwood forestry, oak, sustainable forest management Rest-of-World (RoW) 20100101-20241231.pdf","Beech

✅ Suitable for interior fit-outs and furniture applications where a renewable, low-embodied energy wood with natural aesthetics and moderate strength is desired. Ideal for indoor furniture, cabinetry, and decorative elements where exposure to moisture is minimal and aesthetic appeal is prioritized. 
❌ Not suitable for environments with high moisture levels, such as bathrooms or kitchens, or for applications requiring high durability and load-bearing capacity, such as heavy-duty furniture or outdoor use. Beech is also not recommended for catering equipment that may be exposed to frequent cleaning or moisture, as it may degrade faster compared to treated or engineered wood products.",,,,,,,
Germany,MAT-Wood-0007,Wood,Beech,kg,0.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, beech, sustainable forest management: cleft timber, measured as dry mass","hardwood forestry, oak, sustainable forest management Rest-of-World (RoW) 20100101-20241231.pdf","Beech

✅ Suitable for interior fit-outs and furniture applications where a renewable, low-embodied energy wood with natural aesthetics and moderate strength is desired. Ideal for indoor furniture, cabinetry, and decorative elements where exposure to moisture is minimal and aesthetic appeal is prioritized. 
❌ Not suitable for environments with high moisture levels, such as bathrooms or kitchens, or for applications requiring high durability and load-bearing capacity, such as heavy-duty furniture or outdoor use. Beech is also not recommended for catering equipment that may be exposed to frequent cleaning or moisture, as it may degrade faster compared to treated or engineered wood products.",,,,,,,
Global,MAT-Wood-0008,Wood,Mahogany,kg,0.25,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Mahogany  

✅ Suitable for premium furniture and interior fit-outs due to its rich reddish-brown color, excellent workability, and natural resistance to decay. It offers long-lasting durability and high aesthetic value, making it ideal for decorative veneers, fine cabinetry, and high-end interior applications where visual appeal and craftsmanship are prioritized. 
❌ Not suitable for high-moisture or outdoor applications without proper treatment, as it can be susceptible to weathering and moisture damage. Additionally, due to its slow growth and overharvesting concerns, mahogany has a higher environmental impact and cost, making it less favorable for budget-conscious or sustainability-focused projects. It is also not recommended for catering equipment, where durability and resistance to frequent cleaning and moisture exposure are critical.",,,,,,,
Rest-of-World,MAT-Wood-0009,Wood,Pine,kg,0.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass","softwood forestry, pine, sustainable forest management Rest-of-World (RoW) 20100101-20241231.pdf","Pine

✅ Suitable for rustic-style furniture and interior design accents due to its appealing natural aesthetics and renewable sourcing. It is suitable for decorative or low-load applications in catering furnishings, where moderate mechanical strength is sufficient. Pine's lightweight nature makes it easy to work with for simple designs and non-structural elements. 
❌ Not suitable for applications requiring high dimensional stability, such as precision-machined components or areas with significant temperature and humidity fluctuations. It is also unsuitable for environments where high fire resistance is necessary. Additionally, using pine as fuelwood should be avoided in favor of long-life applications to minimize emissions.",,,,,,,
Germany,MAT-Wood-0010,Wood,Pine,kg,0.05,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass","softwood forestry, pine, sustainable forest management Rest-of-World (RoW) 20100101-20241231.pdf","Pine

✅ Suitable for rustic-style furniture and interior design accents due to its appealing natural aesthetics and renewable sourcing. It is suitable for decorative or low-load applications in catering furnishings, where moderate mechanical strength is sufficient. Pine's lightweight nature makes it easy to work with for simple designs and non-structural elements. 
❌ Not suitable for applications requiring high dimensional stability, such as precision-machined components or areas with significant temperature and humidity fluctuations. It is also unsuitable for environments where high fire resistance is necessary. Additionally, using pine as fuelwood should be avoided in favor of long-life applications to minimize emissions.",,,,,,,
